product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Inert Anode + Grid,South America,0,15%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,South America,60,10%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,South America,30,11%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,South America,30,11%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,South America,0,15%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,South America,30,10%,end-state,,2035,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - North,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - North West,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - North East,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - Central,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - South,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,China - East,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Natural Gas+CCS,Rest of Asia,30,8%,transition,,2025,,2020
